incident_id,incident_title,incident_date,paused_at,incident_description,loss_usd,chain,source_link,b_safe_layer,b_safe_risk_category,technical_footprint,attacker_type,recovery_status,time_to_discovery_days,impact_score,likelihood_score,detectability_score,composite_risk_score
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://docs.google.com/spreadsheets/d/19EQyMRdNktDOR4DbmSbLXeSGHmemnKqKVvgYvGS_1Wc/edit#gid=0,SC,SC-3: Logic Error,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://inspexco.medium.com/merlin-labs-incident-analysis-improper-mint-amount-calculation-on-mintfor-function-6a84c4fb0ec3,PRO,PRO-5: Token Minting Abuse,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,2,3,2,2
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://inspexco.medium.com/merlin-labs-incident-analysis-improper-mint-amount-calculation-on-mintfor-function-6a84c4fb0ec3,SC,SC-3: Logic Error,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://twitter.com/RugDocIO/status/1409821481941540866?s=19,PRO,PRO-5: Token Minting Abuse,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,2,3,2,2
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://twitter.com/RugDocIO/status/1409821481941540866?s=19,SC,SC-3: Logic Error,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://www.rekt.news/merlin3-rekt/,PRO,PRO-5: Token Minting Abuse,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,2,3,2,2
4,20210629_MerlinLab_RS,2021-06-29,,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards...",330000,BNB Chain,https://www.rekt.news/merlin3-rekt/,SC,SC-3: Logic Error,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
5,20200419_LendfMe_S,2020-04-19,2020-04-21 4:51:00,The main logic behind these two incidents is the incompatibility between ERC777 and those DeFi smart contracts (Reentrancy with imBTC),25236849,Ethereum,https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09,PRO,PRO-4: Asset Standard Incompatibility,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Reentrancy Guard Absent""], ""vulnerability_source"": ""Smart Contract Bug""}",Whitehat,Funds Recovered,2,4,2,3,2.5
5,20200419_LendfMe_S,2020-04-19,2020-04-21 4:51:00,The main logic behind these two incidents is the incompatibility between ERC777 and those DeFi smart contracts (Reentrancy with imBTC),25236849,Ethereum,https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09,SC,SC-1: Reentrancy,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Reentrancy Guard Absent""], ""vulnerability_source"": ""Smart Contract Bug""}",Whitehat,Funds Recovered,2,4,2,3,2.5
6,20211003_Compound_SR,2021-10-03,,"Now another ~$68.8M has been sent to the vulnerable vault, and even more COMP is being given away. Any user could call drip() on Compound’s Reservoir vault, which would refill the Comptroller and allow for even more incorrect COMP distribution.",68000000,Ethereum,https://rekt.news/compound-rekt/,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Unknown,Partial Recovery,,4,3,3,2.9
6,20211003_Compound_SR,2021-10-03,,"Now another ~$68.8M has been sent to the vulnerable vault, and even more COMP is being given away. Any user could call drip() on Compound’s Reservoir vault, which would refill the Comptroller and allow for even more incorrect COMP distribution.",68000000,Ethereum,https://twitter.com/bantg/status/1444643482216304641?s=19,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Unknown,Partial Recovery,,4,3,3,2.9
7,20200913_bzx_CS,2020-09-13,2020-09-15 0:00:00,DeFi lending protocol bZx was attacked again. This time hackers drained a little more over $8 million worth of cryptocurrencies leveraging a duplication bug...,8000000,Ethereum,https://bzx.network/blog/incident,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,2,3,2,3,2
7,20200913_bzx_CS,2020-09-13,2020-09-15 0:00:00,DeFi lending protocol bZx was attacked again. This time hackers drained a little more over $8 million worth of cryptocurrencies leveraging a duplication bug...,8000000,Ethereum,https://cryptopotato.com/defi-protocol-bzx-hacked-again-8-million-worth-of-eth-link-stablecoins-drained/,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,2,3,2,3,2
7,20200913_bzx_CS,2020-09-13,2020-09-15 0:00:00,DeFi lending protocol bZx was attacked again. This time hackers drained a little more over $8 million worth of cryptocurrencies leveraging a duplication bug...,8000000,Ethereum,https://mobile.twitter.com/k06a/status/1305223409610166275,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,2,3,2,3,2
8,20210518_Venus_CS,2021-05-18,,The manipulation of XVS price— the governance token of Venus Protocol on BSC resulted in $200M+ DeFi liquidations and a $100M+ of protocol bad debt.,145000000,BNB Chain,https://medium.com/@venus.insider/venus-io-disclosure-an-inside-job-f8ef195fe78d,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Audited by CertiK"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Internal Price Feed"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,5,2,3,3
8,20210518_Venus_CS,2021-05-18,,The manipulation of XVS price— the governance token of Venus Protocol on BSC resulted in $200M+ DeFi liquidations and a $100M+ of protocol bad debt.,145000000,BNB Chain,https://thedefiant.io/bscs-venus-protocol-left-with-bad-debt-after-liquidations/,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Audited by CertiK"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Internal Price Feed"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,5,2,3,3
8,20210518_Venus_CS,2021-05-18,,The manipulation of XVS price— the governance token of Venus Protocol on BSC resulted in $200M+ DeFi liquidations and a $100M+ of protocol bad debt.,145000000,BNB Chain,https://twitter.com/FrankResearcher/status/1394900186435096578,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Audited by CertiK"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Internal Price Feed"", ""economic_exploit_vectors"": [""Liquidity Manipulation""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,,5,2,3,3
9,20220320_Lifinance_S,2022-03-20,,"On March 20th, 2022, an attacker exploited LI.FI’s smart contract, specifically our swapping feature which allows us to perform swaps before bridging...",600000,Ethereum,https://blog.li.fi/20th-march-the-exploit-e9e1c5c03eb9,SC,SC-4: Unchecked External Call,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Stake"", ""audit_status"": ""Audited by Tier-2 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
9,20220320_Lifinance_S,2022-03-20,,"On March 20th, 2022, an attacker exploited LI.FI’s smart contract, specifically our swapping feature which allows us to perform swaps before bridging...",600000,Ethereum,https://twitter.com/lifiprotocol/status/1505545992183111681,SC,SC-4: Unchecked External Call,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Stake"", ""audit_status"": ""Audited by Tier-2 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
9,20220320_Lifinance_S,2022-03-20,,"On March 20th, 2022, an attacker exploited LI.FI’s smart contract, specifically our swapping feature which allows us to perform swaps before bridging...",600000,Ethereum,https://twitter.com/lifiprotocol/status/1505738407938387971,SC,SC-4: Unchecked External Call,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Stake"", ""audit_status"": ""Audited by Tier-2 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,2,3,2,2
10,20200218_bZx_S,2020-02-18,2020-02-17 0:00:00,This second hack is different from the first one in that it is indeed an oracle attack.,665840,Ethereum,https://peckshield.medium.com/bzx-hack-ii-full-disclosure-with-detailed-profit-analysis-8126eecc1360,PRO,PRO-2: Oracle Manipulation,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Audited by Tier-1 Firm"", ""key_management"": ""DAO Governance"", ""oracle_dependency"": ""Spot Price from DEX"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Economic Design Flaw""}",Blackhat,Funds Lost,-1,2,3,2,2
11,20210622_ElevenFinance_CSR,2021-06-22,,Eleven Finance was exploited to drain a number of vaults at the loss about $4.6 million. The incident was due to a bug that allows the attacker to withdraw funds without burning any shares.,4550000,BNB Chain,https://peckshield.medium.com/eleven-finance-incident-root-cause-analysis-123b5675fa76,SC,SC-3: Logic Error,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,3,3,3,2.4
11,20210622_ElevenFinance_CSR,2021-06-22,,Eleven Finance was exploited to drain a number of vaults at the loss about $4.6 million. The incident was due to a bug that allows the attacker to withdraw funds without burning any shares.,4550000,BNB Chain,https://www.rekt.news/11-rekt/,SC,SC-3: Logic Error,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,3,3,3,2.4
12,20210810_PunkProtocol_CSR,2021-08-10,2021-08-10 22:20:00,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned...",8950000,Ethereum,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,SC,SC-4: Unchecked External Call,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Partial Recovery,0,3,3,3,2.4
12,20210810_PunkProtocol_CSR,2021-08-10,2021-08-10 22:20:00,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned...",8950000,Ethereum,https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Partial Recovery,0,3,3,3,2.4
12,20210810_PunkProtocol_CSR,2021-08-10,2021-08-10 22:20:00,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned...",8950000,Ethereum,https://rekt.news/punkprotocol-rekt/,SC,SC-4: Unchecked External Call,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Partial Recovery,0,3,3,3,2.4
12,20210810_PunkProtocol_CSR,2021-08-10,2021-08-10 22:20:00,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned...",8950000,Ethereum,https://rekt.news/punkprotocol-rekt/,SC,SC-3: Logic Error,"{""chain"": ""Ethereum"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""Proof-of-Work"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [], ""code_level_defenses"": [""Unchecked Delegatecall""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Partial Recovery,0,3,3,3,2.4
13,20210816_XSURGE_S,2021-08-16,,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan... The resulting reentrancy vulnerability.",5000000,BNB Chain,https://medium.com/@Knownsec_Blockchain_Lab/knowsec-blockchain-lab-xsurge-flash-loan-attack-analysis-b57b75ce6a30,PRO,PRO-4: Asset Standard Incompatibility,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [""Reentrancy Guard Absent""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,3,3,3,2.4
13,20210816_XSURGE_S,2021-08-16,,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan... The resulting reentrancy vulnerability.",5000000,BNB Chain,https://medium.com/@Knownsec_Blockchain_Lab/knowsec-blockchain-lab-xsurge-flash-loan-attack-analysis-b57b75ce6a30,SC,SC-1: Reentrancy,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [""Reentrancy Guard Absent""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,3,3,3,2.4
13,20210816_XSURGE_S,2021-08-16,,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan... The resulting reentrancy vulnerability.",5000000,BNB Chain,https://twitter.com/XSURGEDEFI/status/1427359459102404609,PRO,PRO-4: Asset Standard Incompatibility,"{""chain"": ""BNB Chain"", ""platform_type"": ""EVM"", ""consensus_mechanism"": ""PoS-DPoS"", ""audit_status"": ""Not Audited"", ""key_management"": null, ""oracle_dependency"": ""Not Applicable"", ""economic_exploit_vectors"": [""Flash Loan""], ""code_level_defenses"": [""Reentrancy Guard Absent""], ""vulnerability_source"": ""Smart Contract Bug""}",Blackhat,Funds Lost,,3,3,3,2.4
